"LAND.USE.LEVEL1" "latitude_decimals" "longitude_decimal" "elevation.Meters." "DistanceFromUrbanCenter" "POP_DENSITY" "INCOME_PER_CAPITA" "VegCover" "NO3.N" "pH" "conductivity"
"12" 2 33.8385173838082 -112.459091510609 482.785788631548 45938.3179243739 -549.404319333855 38550.9026724156 28.9064502639 -24.0456465256266 8 343.200020479976
"13" 2 33.7729487426013 -112.432194138636 490.647604731759 57842.2779565699 116.116713557979 32465.2888374873 22.6094890900076 43.3057767974686 6 321.688074218332
"14" 2 33.7488195406882 -112.747559640368 454.020160175495 64517.8790410915 -62.6796829580079 2910.28129466287 15.9399524544947 12.5566010813853 8 201.110279120295
"15" 2 33.7574528954959 -111.831977651468 640.445881694471 30045.622070725 464.869723099332 49752.57671902 69.5757252080979 19.4394204656879 8 103.319270774525
"16" 2 33.7930671205241 -111.972547838383 479.892606188322 40554.9361600971 350.856025641701 21616.0087846852 17.6122022692375 -15.7942029803906 8 414.214388238881
"17" 2 33.7453856549747 -112.666738544537 506.34378671032 60023.3826395776 -83.7344668832434 27399.9382531364 33.1845262067691 -33.0865765363224 7 344.369739453875
"18" 2 33.7440894518443 -111.853988819989 518.196696472255 40326.2157789066 -144.089550315734 20025.0398363388 9.27096752286671 28.0577800947562 7 -20.2439734752086
"19" 2 33.7421688817858 -112.896692261946 492.189615052047 76723.7444509283 575.2750026134 21688.1240395619 15.7465575273873 -25.2319868736034 7 403.356174994253
"20" 2 33.7390775823202 -112.323560503924 411.216988579882 36982.4832042325 -61.9468184708087 38705.2823940179 27.1140348665584 14.5082003014857 8 -188.437027222483
"21" 2 33.7520906227142 -111.688027255616 583.183168687046 48105.3410273763 -27.0384682100407 49167.8986591482 31.5462995387117 69.524613162324 7 -101.65960249686
"22" 2 33.7454228222656 -112.75873578283 474.635838674648 74569.8534379447 407.750000852267 14824.3656368294 39.7149525315287 4.01534539685696 7 292.675126596506
"23" 2 33.7761470904525 -111.888701683175 487.527140794084 34275.2878007953 -32.754711472629 23859.534649503 29.9070074573488 -15.1066943139817 7 324.499770467451
"24" 2 33.7179869066644 -112.585088313592 402.303108876863 42734.0893366834 -66.4563188347509 33220.3397227634 10.9221481311737 23.3480586567855 7 621.804704240279
"25" 1 33.7090673966827 -112.102246007285 504.77845492193 32240.948872625 1003.1441015299 34571.0758072129 34.3869400121273 -13.4361044617298 7 463.526133077256
"26" 2 33.6890493915848 -111.869512529103 829.59329104811 40154.0701715692 -100.532894287031 72563.9848085433 52.2306339561729 16.4851947261839 7 561.586187157136
"27" 1 33.7055001324174 -112.130946756687 445.624102213708 29332.729812433 611.222054038684 25471.6446897947 14.057127120098 109.937343650486 7 -195.451326290305
"28" 1 33.747247684487 -112.471920070988 492.158455571094 28414.9908933861 636.519007305267 27748.0523130556 71.8623054096934 -14.945441129786 8 -381.82516677815
"29" 1 33.731832313117 -112.503469463761 448.629136202467 47546.5494890497 -82.8555175166845 38629.4936823884 15.502714235126 -0.0817400368466783 8 -126.010316828135
"30" 2 33.693324260233 -112.573433953825 424.956737539289 51811.533198737 -257.877358626003 16444.1256212855 4.08095988875169 18.0807442745649 7 914.076224245554
"31" 2 33.7184516901298 -112.391530357873 381.119153114453 44044.9610603246 -10.1063065660705 31498.9257095527 39.9097277882373 -23.4171695227434 8 606.288972773246
"32" 2 33.6931932466289 -112.527526054697 453.523853940909 46865.3781707241 -17.7681805381898 14650.4576321389 3.35703460449801 -2.29131232882596 8 328.239190037089
"33" 2 33.7219248676597 -112.673585835372 432.236902770255 48060.7773131805 36.2578972312584 24523.8423765397 85.8642827404209 9.00444109386267 7 47.6062513990541
"34" 2 33.6711463857153 -111.728089682231 692.726925140215 40127.8213826216 121.985613537125 166.366733297656 20.2133360999666 -32.6324518811147 7 -285.056138968231
"35" 2 33.7169711077913 -111.981549669447 679.579872569824 32335.9664623351 342.939422025594 66066.9025803465 66.279779614125 44.6931333702245 8 454.323094798387
"36" 1 33.7346799752319 -112.236079983374 380.154957436839 23016.6786481538 199.109711981532 22010.7228494046 23.6782969254442 29.5881799776717 8 -38.7221304527305
"37" 7 33.7045848041699 -112.483388594476 305.530903877103 34220.4224450059 1049.98142335568 38504.2897739207 8.79641637607549 -15.2527211119704 8 486.278462150501
"38" 2 33.7624018438581 -111.81508563077 523.250372366559 37714.8504725824 233.490940839964 388.662996875182 58.7092340979376 30.7907362300287 8 145.936992489252
"39" 2 33.7071950925739 -112.625486131359 475.463544795489 67371.4054063205 -292.666213797776 21210.0635047346 5.44587395927115 7.07476000639917 8 -133.070785226677
"40" 1 33.663081870502 -111.936084331554 490.315055868582 19451.4851914123 518.09077009889 40908.8803602797 33.5373264751564 -14.8466636639874 8 1359.57053675123
"41" 2 33.6490626302515 -111.829227606626 689.700378141164 28965.264142178 288.57124628862 78608.7641455832 30.7728389065937 20.4377035172704 7 53.8036801405279
"42" 1 33.723225665988 -111.916920958592 480.383901324791 26701.7809392034 -55.9190303966429 38140.4476472515 -13.8876275422319 73.9177855049795 8 2363.90275751389
"43" 1 33.6536209465846 -112.340247597461 409.883142291776 39897.2108849568 882.636600022883 37374.878908505 3.47676831434307 17.7790245001106 7 766.01750078548
"44" 2 33.6691719062372 -112.29800544449 366.354518364847 24651.9303864558 414.454253869623 21330.5114668269 37.2343703463696 -24.4717691671642 8 36.8562942496812
"45" 2 33.6296659276239 -111.854461230537 667.636003510996 38306.1845208811 30.2861291366755 -7632.99232904433 13.4072372833558 1.65044314472325 6 496.405788097988
"46" 2 33.6860672388195 -112.728345328916 539.781975234521 56431.1392043119 -197.791102068444 18113.8639947782 55.9986184220451 3.49880348669402 7 86.3173472983537
"47" 2 33.6863223707871 -111.762969274761 571.623954220045 31801.360366566 261.73783989959 -4427.85145061784 54.0021115317848 11.3222597877345 6 633.312130435055
"48" 1 33.6225135496545 -112.216719563273 388.157565774316 21730.896199973 1101.06229174876 39985.4672725448 15.2560007060821 -26.5457893890587 7 5582.53362934184
"49" 1 33.6685946514315 -112.260762019463 395.058396736564 27479.4421472846 3104.66186261815 14858.2846713927 -4.47402186343951 110.83178421252 8 1149.67655449558
"50" 1 33.6839985116772 -112.139718810272 451.544914388639 25700.4984496243 2297.68970187616 23579.4655622676 13.8971053026902 -25.6232679467898 8 1080.73258867019
"51" 2 33.6573798597712 -111.745237954511 851.111124645196 26219.5542751717 278.467454810075 63588.4394134778 45.5758873638026 20.9395762875128 7 434.210285622872
"52" 1 33.6654125478916 -112.040410551594 446.934631380242 23936.8231132151 4408.31446471115 35036.9187935677 4.48358551878454 29.2948940758269 7 777.931025364606
"53" 1 33.6450668532601 -112.001716376089 371.152141519131 23125.7056220489 2161.88196509626 19608.3143144338 5.22779679526134 22.051424285308 8 827.841104070461
"54" 2 33.6273188907883 -112.515092742103 792.65422549726 48507.0079496517 -404.991484724153 16693.1755424399 16.802383921142 11.6440531002904 7 245.847550792392
"55" 1 33.6321268010269 -112.219776587052 429.976615361013 18881.4088622038 1345.10549994198 24103.6530816169 10.1250889501255 2.98308633652137 8 1293.38822833728
"56" 1 33.6462539853684 -112.076565619087 332.374523881618 18371.6609063077 1138.77715084527 20277.3898017805 18.5560142916744 8.13397916042032 7 1143.60720731522
"57" 1 33.6381067765221 -111.950874082775 409.411070888141 25728.5239063114 1414.51596326172 25530.67522207 5.1965634172653 3.57558448093216 7 10419.2062978792
"58" 1 33.5795810962643 -112.237455949765 429.186995296154 10979.0634781575 3037.58270582476 31506.255900649 16.2632035351044 112.433165066757 8 778.71260052095
"59" 1 33.6290083012505 -112.155538558813 319.400795206933 29667.133123808 1966.92232410066 8705.04966267797 21.4058726277799 -9.87904447991733 8 448.701113612264
"60" 2 33.6495374620922 -112.581763581901 389.11747799872 63917.2268383868 -581.928121774172 12070.5422529805 36.5814697948763 -2.9066769314614 8 468.392486381545
"61" 2 33.6244685657484 -112.855181932819 399.380799458549 75848.2373101092 55.3020604862526 16424.7415241135 18.3154078268087 74.6562711079953 8 -164.730264573915
"62" 3 33.594274803435 -112.287967301287 336.061817038097 37980.3397565702 300.594813747571 19019.8906948455 60.3819284830439 4.24735517675957 8 781.507721428339
"63" 1 33.6058917370429 -112.149815944465 501.801505398641 22082.573614954 2142.39904062653 37052.5271849988 8.22742965941555 9.30685309795921 8 641.84656863322
"64" 2 33.5973183315954 -112.476447283655 417.824859115477 44078.0499213763 -15.4258647848642 24903.3240412692 58.6737273106096 -40.4898998415178 7 309.648425631824
"65" 3 33.6101820647852 -112.260849940272 383.117317618402 24842.1795434779 746.577357860167 30125.4736212551 2.32279878671512 26.0271801545821 8 435.973692445483
"66" 2 33.5996307032002 -111.38497781439 494.957525202607 39433.0304566886 69.2552537810817 22143.156445728 12.4487850546474 -13.8059894153487 7 507.356477651219
"67" 7 33.6281365390523 -112.112668552497 370.238947836454 20046.6045870385 1223.17665260564 31166.4812149163 -2.76841228023649 -26.2886806964272 8 40.4468387653097
"68" 3 33.5983315952663 -112.497038394228 369.990630553409 33860.5972207833 194.707354095857 24247.9868812328 10.0256467914672 82.7626524470794 8 458.727638820132
"69" 2 33.5866962546173 -112.218383820594 485.741825893094 12110.9773017767 876.045835368371 12678.9130845292 36.1361394297725 9.79654212465632 8 274.703715408217
"70" 2 33.6056093576794 -112.607739265714 435.411411620289 59833.3994368223 32.2404653899819 10479.9917355221 27.1142494899613 5.64014559446204 8 249.157627479
"71" 7 33.6131092031451 -112.141667326585 322.554708174769 20987.3979071068 2329.91567577506 16187.7733071212 2.66231289007683 150.782787200396 8 331.585260850549
"72" 1 33.5916511932866 -111.843434949196 431.687995734681 25398.4221970749 484.843086459784 38681.9676131151 22.0727391301883 -18.8926001667206 7 -150.578339523779
"73" 1 33.613092664766 -112.233837584398 358.096225743165 20562.1156574417 3420.09119165397 12575.821896284 8.81723717781606 -23.9674723866804 8 996.487846210114
"74" 1 33.6088380440834 -112.141556921661 384.278375377724 10909.6980382094 2592.67241891006 15114.0430180366 11.7274736267365 -9.61627374941349 8 822.75341089135
"75" 2 33.581228054634 -112.634346927063 491.053284090013 53365.853771465 74.5011797234769 12458.8530363773 44.0728655078137 29.5767476745078 8 50.6063967105643
"76" 1 33.5656457644866 -112.295376546116 395.131602717171 24273.6854705265 1703.1710029922 26431.0561379191 6.26407374674296 16.234781230913 7 1108.4053154315
"77" 3 33.6109393714462 -112.471202516718 405.793217165596 33067.9706764939 54.8340533101844 23400.1048785433 29.6052918671624 -14.7396575015606 8 1326.80180718203
"78" 1 33.5791231404329 -111.937058538009 471.319174492464 10089.2649138459 1845.17384541688 27721.9447820677 -1.23255287747292 -25.629375436412 7 827.987552091617
"79" 1 33.5597861865915 -111.870120797304 506.177003625557 15408.2453908764 1342.00197916333 29523.1130374642 9.68211956488684 9.31596553894951 8 -21.9854614373048
"80" 6 33.614245229634 -111.856924772208 493.674817895742 22223.8573704191 1183.33778417455 23599.6738515123 36.1986409182419 -23.913296333974 8 121.185408306931
"81" 1 33.5337985134106 -112.164880369573 395.557616274501 12567.5323912077 4042.58039669798 20979.2438114018 9.16064116902886 649.584332561525 7 940.177126381614
"82" 1 33.5641057595436 -112.143909334699 443.88881208204 10820.3623165703 3324.06110534151 17972.1711713189 23.6392853238271 10.0360009964266 8 593.858761027058
